title,season,schedule,placeName,placeLink,duration,classification/image,image,placeTitle,address,price,placeSeats,Valor do show (80%)
Chama a Véia - Standup Comedy,Dia 7 de Maio (domingo),"Domingo, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123934.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 9,90",100,"R$ 792,00"
André Assunção - Pai dos Gatos - Standup Comedy,Dia 5 de Maio (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123955.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 30,00",100,"R$ 2.400,00"
Gêmeas: Ane e Viviana Freitas - Standup Comedy,Dia 7 de Maio (domingo),"Domingo, às 19h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123962.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Alessandro Berle - Show de Humor,Dia 26 de Maio (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123969.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Morando de Favor - Romarinho Ferreira - Dan Carvalho,Estreia dia 14 de Maio (domingo). até 18 de Maio,"Domingo, às 19h e Quinta, às 21h35","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123970.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Piadas de Preto - Standup e Poesia,Dia 14 de Maio (domingo),"Domingo, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124000.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 9,90",100,"R$ 792,00"
Vini Santos - Mãos a Obra - Standup Comedy,Dia 19 de Maio (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123999.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Marcelo Duque - Me tornei interessante,Dia 23 de Junho (sexta),"Sexta, às 21h.","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Comedy Sampa Club",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,70 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124014.jpg,Comedy Sampa Club,"Rua Domingos de Morais, 348 - Vila Mariana","R$ 34,90",500,"R$ 13.960,00"
Sakaneando - Com Richard Sakamoto - Standup Comedy,Dia 13 de Maio (sábado),"Sábado, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124012.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Chama a Véia em Carapicuíba,Dia 26 de Maio (sexta),"Sexta, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Caracas Comedy Club Carapicuíba",https://www.sampaingressos.com.br/local/Caracas%20Comedy%20Club%20Carapicu%C3%ADba__2932,70 minutos,https://www.sampaingressos.com.br/templates/images/livre.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124013.jpg,Caracas Comedy Club Carapicuíba (150 lugares),"Estr. Ernestina Vieira, 149 - Plaza Shopping Carapicuíba - Vila Dirce","R$ 12,00",150,"R$ 1.440,00"
